# %ECSV 0.9
# ---
# datatype:
# - {name: lowAmp, datatype: float64}
# - {name: highAmp, datatype: float64}
# - {name: semimajor, datatype: float64}
# - {name: semiminor, datatype: float64}
# - {name: meanx, datatype: float64}
# - {name: meany, datatype: float64}
# - {name: angle, datatype: float64}
# meta: !!omap
# - {comment: 'W2-W4; Number of bins: 12; Stars per bin: 72685'}
lowAmp highAmp semimajor semiminor meanx meany angle
1.7928826862e-06 8613.25092599 1.15482687716 1.14498932271 0.0246095915263 -0.0306873162935 73.1829642198
8613.25416427 10329.4839594 1.02123751316 1.00107158175 0.0227794719716 -0.0382606133223 99.3689357329
10329.5151566 11697.7050345 0.955403560309 0.928399284614 0.021800196971 -0.0404105447877 88.0528701097
11697.7644377 12965.5771257 0.890006744871 0.865562145749 0.0158812620427 -0.056494704142 80.139899751
12965.5932481 14238.4417125 0.835572581952 0.81128145512 0.016349051966 -0.0578705658098 78.548634783
14238.4682939 15582.6889766 0.783274110321 0.758312337658 0.00751591814961 -0.0674219860723 76.7234251343
15582.7421456 17074.5164535 0.739604928855 0.706126164729 0.011325685079 -0.0662460381522 86.9955036105
17074.5837163 18849.3264835 0.685451673941 0.656405878355 0.0101333286058 -0.067079019628 68.7053909946
18849.4101241 21172.5605109 0.640150959441 0.607991165368 0.0128068772581 -0.0683163384831 76.0176529808
21172.577008 24813.4561373 0.585111920157 0.550102171713 0.0131617565761 -0.067864510621 77.4406625541
24813.5055048 33766.344888 0.514846754311 0.469012917758 0.0151684272062 -0.0670080599872 72.7758061251
33766.4497398 10000000.0 0.392084301204 0.33540020507 0.0172221925108 -0.0698012490471 77.7288827944
