# %ECSV 0.9
# ---
# datatype:
# - {name: lowAmp, datatype: float64}
# - {name: highAmp, datatype: float64}
# - {name: semimajor, datatype: float64}
# - {name: semiminor, datatype: float64}
# - {name: meanx, datatype: float64}
# - {name: meany, datatype: float64}
# - {name: angle, datatype: float64}
# meta: !!omap
# - {comment: 'W3-W4; Number of bins: 13; Stars per bin: 67094'}
lowAmp highAmp semimajor semiminor meanx meany angle
1.7928826862e-06 8453.06584357 1.14136207218 1.12922045709 0.00838642704447 0.00217625102821 89.9551184685
8453.09978566 10094.7509162 1.02078513007 1.00244419004 0.00312452815984 0.000614600028113 94.766363952
10094.7798168 11393.3131586 0.950457451345 0.927896567953 0.0117155775858 -0.000543811964302 95.4111997412
11393.3492944 12576.2371448 0.890548097445 0.86375839604 0.0051852522166 -0.010615354615 99.3454366945
12576.2701727 13742.0961754 0.836589554693 0.812668307815 0.00624560978856 -0.0119840270818 100.072195072
13742.13177 14942.7853605 0.780512425267 0.762899707658 0.00291771112642 -0.0174530220162 91.4725588972
14942.8011017 16249.6076333 0.733672494632 0.706618362909 0.00141979513913 -0.0133731442287 95.7395858232
16249.6140851 17715.539788 0.687515715479 0.66407970536 0.00409367280928 -0.0138242373481 97.160002725
17715.5445008 19482.8241717 0.632388292181 0.614196177591 0.00200483469973 -0.0215436742901 86.2164556446
19482.8672617 21852.3926922 0.581500829166 0.558586923356 0.00441326871196 -0.0187817236618 90.4004493702
21852.5042876 25627.5085786 0.50705422735 0.485037847599 0.00562721002162 -0.0194071492951 92.8867414384
25627.6082985 35128.3535395 0.396768330387 0.377847847137 0.00518661192156 -0.019188909556 83.1865442139
35128.5303878 10000000.0 0.233631524346 0.212358871557 0.00784252455172 -0.0241218970133 90.575601059
