# %ECSV 0.9
# ---
# datatype:
# - {name: lowAmp, datatype: float64}
# - {name: highAmp, datatype: float64}
# - {name: semimajor, datatype: float64}
# - {name: semiminor, datatype: float64}
# - {name: meanx, datatype: float64}
# - {name: meany, datatype: float64}
# - {name: angle, datatype: float64}
# meta: !!omap
# - {comment: 'W2-W4; Number of bins: 17; Stars per bin: 51307'}
lowAmp highAmp semimajor semiminor meanx meany angle
1.7928826862e-06 7940.21267358 1.18245076916 1.17186981916 0.0327448084694 -0.0314509152324 75.9482594705
7940.22071334 9386.04514504 1.06257995533 1.0505756527 0.0136695376798 -0.0331477490738 103.290632457
9386.05029592 10500.3404315 1.00035987105 0.976390242108 0.0246061545477 -0.0403902667481 91.250777078
10500.341342 11464.190456 0.95597631397 0.932420469209 0.0224446249237 -0.0411651206371 85.0192770438
11464.1914692 12373.5846014 0.912802078435 0.885523520315 0.0159874348301 -0.0494151058246 80.658130336
12373.5935747 13260.0790827 0.866025635371 0.841946847193 0.015523193974 -0.0587618808692 84.4225207701
13260.1297911 14163.4102923 0.830787261364 0.804642598534 0.0170223912752 -0.0587562977059 77.0986885589
14163.4145125 15091.6259006 0.792937501297 0.768947622183 0.00986011383574 -0.0693634091654 78.9432035865
15091.6740643 16091.4573838 0.760703176466 0.730509025256 0.00795309784514 -0.0616547785361 85.2475829307
16091.472608 17170.0065786 0.729104946686 0.699028275975 0.0121236711406 -0.0672716558606 81.2325801314
17170.0137675 18393.1799032 0.691276728809 0.663444750958 0.00762375490078 -0.0649979469475 71.1317952413
18393.1931104 19845.6103149 0.652432471628 0.620852373888 0.0131055720918 -0.0724857206289 75.4326103959
19845.6813255 21687.2972313 0.627713067855 0.596227163823 0.012554196801 -0.0652673764365 72.8416646476
21687.3196695 24251.7517178 0.584894161542 0.546351854152 0.0143570017495 -0.0680400953053 77.4339303027
24251.789695 28712.8251159 0.535008667388 0.494696492857 0.0128942390076 -0.0659427076018 75.4890542053
28712.8817722 40285.028152 0.474398373966 0.420189978152 0.0173421825662 -0.0699749416822 72.5298881922
40285.3107021 10000000.0 0.36237578205 0.30790872013 0.0175889874597 -0.0699843923539 79.483469973
